transaction_id,user_id,transaction_amount,transaction_type,merchant_category,transaction_date
TXN0000054,USR00872,12178.97,POS,Transport,2024-06-10
TXN0000055,USR01512,650014.36,Transfer,Retail,2024-05-22
TXN0000056,USR02453,301673.64,POS,Retail,2024-07-29
TXN0000057,USR00389,171624.65,Withdrawal,Entertainment,2024-10-18
TXN0000058,USR02842,388687.34,Airtime,Entertainment,2024-12-22
TXN0000059,USR02730,318103.06,POS,Retail,2024-12-18
TXN0000060,USR01839,912119.92,POS,Education,2024-11-07
TXN0000061,USR02887,503518.86,Transfer,Transport,2024-04-29
TXN0000062,USR01756,308986.55,Airtime,Real Estate,2024-03-04
TXN0000063,USR01215,374648.35,Airtime,Food,2024-03-11
TXN0000064,USR02971,38099.1,Withdrawal,Health,2024-11-24
TXN0000065,USR01301,134440.02,Deposit,Telecom,2024-06-17
TXN0000066,USR01182,648116.17,Transfer,Transport,2024-07-31
TXN0000067,USR00844,342859.53,Withdrawal,Telecom,2024-06-18
TXN0000068,USR02816,988377.61,Deposit,Transport,2024-12-06
TXN0000069,USR00752,521567.11,POS,Telecom,2024-07-14
TXN0000070,USR00789,70170.85,Transfer,Food,2024-09-08
TXN0000071,USR02428,91940.95,Withdrawal,Transport,2024-03-05
TXN0000072,USR01914,426354.14,Bills,Food,2024-02-10
TXN0000073,USR02482,424131.55,Airtime,Utilities,2024-05-05
TXN0000074,USR00825,967731.3,Bills,Health,2024-08-17
TXN0000075,USR00688,398364.43,POS,Health,2024-07-03
TXN0000076,USR00639,734980.38,POS,Telecom,2024-11-08
TXN0000077,USR01230,854070.55,Withdrawal,Education,2024-08-06
TXN0000078,USR01900,257440.01,Bills,Health,2024-03-30
TXN0000079,USR00295,606103.55,Bills,Food,2024-10-14
TXN0000080,USR00777,154893.36,Transfer,Telecom,2024-04-10
TXN0000081,USR01704,491554.94,POS,Entertainment,2024-07-10
TXN0000082,USR02410,641119.87,Transfer,Finance,2024-06-06
TXN0000083,USR02317,384948.66,Airtime,Transport,2024-03-04
TXN0000084,USR02959,771315.35,Bills,Education,2024-05-10
TXN0000085,USR02853,688551.01,Transfer,Finance,2024-11-21
TXN0000086,USR00142,242504.16,Bills,Telecom,2024-05-06
TXN0000087,USR02480,148054.56,POS,Food,2024-11-26
TXN0000088,USR02715,578425.55,Airtime,Telecom,2024-11-04
TXN0000089,USR01575,644467.87,POS,Real Estate,2024-02-17
TXN0000090,USR00774,518632.82,POS,Food,2024-02-11
TXN0000091,USR02051,691897.74,Withdrawal,Finance,2024-05-09
TXN0000092,USR02981,752511.01,Transfer,Retail,2024-07-29
TXN0000093,USR01102,814264.36,Deposit,Transport,2024-06-25
TXN0000094,USR00027,699068.5,Airtime,Health,2024-07-22
TXN0000095,USR01712,773788.11,Withdrawal,Finance,2024-02-05
TXN0000096,USR01535,170799.96,Airtime,Food,2024-08-08
TXN0000097,USR00452,502712.73,POS,Real Estate,2024-04-03
TXN0000098,USR00749,201100.46,Airtime,Utilities,2024-04-05
TXN0000099,USR02558,440841.86,Transfer,Food,2024-07-28
TXN0000100,USR01134,377852.61,Transfer,Entertainment,2024-02-13
TXN0000101,USR02756,478001.06,Transfer,Telecom,2024-04-30
TXN0000102,USR00172,665388.55,Transfer,Transport,2024-01-04
TXN0000103,USR02131,375790.29,Bills,Health,2024-01-04
TXN0000104,USR01379,604450.07,Bills,Entertainment,2024-06-21
TXN0000105,USR02725,941001.91,POS,Finance,2024-05-02
TXN0000106,USR00411,873101.94,Transfer,Health,2024-07-01
TXN0000107,USR00569,725274.42,Transfer,Real Estate,2024-07-24
TXN0000108,USR02865,279611.36,Airtime,Entertainment,2024-09-28
TXN0000109,USR01947,658943.67,Withdrawal,Finance,2024-12-17
TXN0000110,USR01320,986183.18,Transfer,Entertainment,2024-01-02
TXN0000111,USR00957,677993.16,Withdrawal,Health,2024-06-15
TXN0000112,USR01427,794000.79,POS,Health,2024-11-09
TXN0000113,USR01577,905220.82,Bills,Real Estate,2024-12-24
TXN0000114,USR02343,869883.88,Deposit,Education,2024-03-14
TXN0000115,USR01235,796860.6,Deposit,Education,2024-09-11
TXN0000116,USR01828,168219.07,Transfer,Health,2024-08-27
TXN0000117,USR00699,243507.08,Deposit,Retail,2024-05-03
TXN0000118,USR01338,160403.07,POS,Utilities,2024-01-15
TXN0000119,USR02747,665998.83,Transfer,Food,2024-05-11
TXN0000120,USR00371,725468.6,Deposit,Entertainment,2024-11-20
TXN0000121,USR02461,766383.35,Transfer,Entertainment,2024-10-21
TXN0000122,USR02302,653988.21,POS,Transport,2024-07-14
TXN0000123,USR00457,291118.02,Transfer,Entertainment,2024-02-29
TXN0000124,USR00476,744668.08,Withdrawal,Entertainment,2024-04-06
TXN0000125,USR02364,954076.85,Deposit,Telecom,2024-06-09
TXN0000126,USR01590,535695.38,POS,Entertainment,2024-10-29
TXN0000127,USR00518,933937.45,Withdrawal,Real Estate,2024-12-13
TXN0000128,USR02205,395432.93,POS,Entertainment,2024-02-24
TXN0000129,USR02048,837248.37,Deposit,Health,2024-05-31
TXN0000130,USR02726,146041.38,Deposit,Telecom,2024-05-25
TXN0000131,USR02821,502477.02,Transfer,Utilities,2024-06-07
TXN0000132,USR02585,574056.58,Airtime,Health,2024-12-27
TXN0000133,USR01365,59000.77,Airtime,Transport,2024-07-11
TXN0000134,USR00216,700466.63,Airtime,Health,2024-04-25
TXN0000135,USR02701,984391.68,Airtime,Telecom,2024-06-02
TXN0000136,USR01940,422552.56,Bills,Finance,2024-06-21
TXN0000137,USR01157,726808.52,Deposit,Transport,2024-09-27
TXN0000138,USR00537,393893.31,Bills,Real Estate,2024-10-07
TXN0000139,USR02907,849838.91,Bills,Health,2024-01-28
TXN0000140,USR02851,137733.31,POS,Utilities,2024-10-22
TXN0000141,USR00802,218292.63,Deposit,Telecom,2024-04-17
TXN0000142,USR00605,102127.35,POS,Finance,2024-10-21
TXN0000143,USR00394,925999.21,Bills,Health,2024-03-27
TXN0000144,USR02112,117523.26,Deposit,Entertainment,2024-01-27
TXN0000145,USR01655,627046.53,Airtime,Telecom,2024-03-17
TXN0000146,USR02818,488727.68,Withdrawal,Food,2024-07-22
TXN0000147,USR02748,775893.86,Deposit,Retail,2024-07-11
TXN0000148,USR02591,382224.12,Deposit,Health,2024-11-28
TXN0000149,USR00500,116804.19,POS,Education,2024-03-02
TXN0000150,USR02346,573066.74,POS,Utilities,2024-10-27
TXN0000151,USR00742,794384.05,POS,Health,2024-02-18
TXN0000152,USR02341,433769.31,Airtime,Retail,2024-12-25
TXN0000153,USR02871,185052.69,Transfer,Finance,2024-10-02
TXN0000154,USR02172,783517.08,POS,Retail,2024-10-01
TXN0000155,USR02670,539073.45,Transfer,Transport,2024-10-26
TXN0000156,USR02454,180827.86,Deposit,Food,2024-03-01
TXN0000157,USR00504,800552.07,Transfer,Food,2024-08-16
TXN0000158,USR02304,161377.86,Bills,Telecom,2024-11-30
TXN0000159,USR01490,506246.57,Withdrawal,Food,2024-03-04
TXN0000160,USR01232,285.55,Transfer,Education,2024-12-02
TXN0000161,USR01823,659225.09,Airtime,Real Estate,2024-05-30
TXN0000162,USR01443,522761.2,Withdrawal,Education,2024-06-09
TXN0000163,USR00184,99189.23,Airtime,Telecom,2024-12-18
TXN0000164,USR00882,856113.1,Airtime,Real Estate,2024-06-02
TXN0000165,USR00527,359192.99,Deposit,Real Estate,2024-10-29
TXN0000166,USR01564,255116.12,Deposit,Food,2024-10-08
TXN0000167,USR02772,944750.59,POS,Food,2024-02-12
TXN0000168,USR01104,629641.66,Deposit,Transport,2024-02-06
TXN0000169,USR02095,657385.93,Withdrawal,Food,2024-10-15
TXN0000170,USR01777,316496.75,POS,Telecom,2024-03-19
TXN0000171,USR00511,77709.01,Withdrawal,Retail,2024-05-06
TXN0000172,USR02623,66146.1,Transfer,Entertainment,2024-07-27
TXN0000173,USR00925,146500.22,Bills,Telecom,2024-05-19
TXN0000174,USR00431,378756.25,Transfer,Food,2024-04-23
TXN0000175,USR02006,588908.7,Transfer,Education,2024-06-05
TXN0000176,USR02260,865424.4,Bills,Real Estate,2024-10-19
TXN0000177,USR01596,170913.1,Airtime,Entertainment,2024-01-25
TXN0000178,USR02178,968005.72,Withdrawal,Real Estate,2024-12-13
TXN0000179,USR00523,476966.02,Bills,Telecom,2024-07-25
TXN0000180,USR00585,657630.76,POS,Real Estate,2024-03-20
TXN0000181,USR02619,918457.04,Bills,Transport,2024-01-28
TXN0000182,USR00750,706844.7,POS,Entertainment,2024-08-02
TXN0000183,USR01753,286962.01,Withdrawal,Transport,2024-09-14
TXN0000184,USR01666,947464.21,Bills,Retail,2024-02-14
TXN0000185,USR00384,730006.31,Airtime,Real Estate,2024-02-09
TXN0000186,USR02019,554248.39,Transfer,Finance,2024-05-26
TXN0000187,USR02110,479759.54,Deposit,Education,2024-03-10
TXN0000188,USR00779,14097.47,Deposit,Telecom,2024-07-26
TXN0000189,USR01414,534417.42,Airtime,Education,2024-12-25
TXN0000190,USR00691,607451.46,Deposit,Education,2024-01-22
TXN0000191,USR00547,75307.27,Withdrawal,Entertainment,2024-03-30
TXN0000192,USR00699,495608.26,Bills,Retail,2024-08-04
TXN0000193,USR02209,249915.02,Transfer,Utilities,2024-12-13
TXN0000194,USR00010,264897.57,Deposit,Real Estate,2024-05-30
TXN0000195,USR02634,929122.26,Withdrawal,Telecom,2024-06-05
TXN0000196,USR00236,848381.26,Bills,Telecom,2024-11-12
TXN0000197,USR00439,298490.68,Transfer,Entertainment,2024-06-17
TXN0000198,USR00037,402187.27,Transfer,Finance,2024-04-05
TXN0000199,USR00630,529190.21,POS,Retail,2024-02-13
TXN0000200,USR02690,155799.12,Bills,Transport,2024-01-04
TXN0000201,USR01755,299424.8,Airtime,Education,2024-07-10
TXN0000202,USR02689,989370.38,POS,Food,2024-02-25
TXN0000203,USR02905,6009.05,Airtime,Retail,2024-08-10
TXN0000204,USR01725,133853.46,Deposit,Entertainment,2024-01-21
TXN0000205,USR01964,666270.91,Deposit,Utilities,2024-03-23
TXN0000206,USR02793,550213.1,Deposit,Food,2024-09-07
TXN0000207,USR01593,501957.71,Airtime,Retail,2024-07-23
TXN0000208,USR01410,126298.23,Withdrawal,Telecom,2024-01-11
TXN0000209,USR01402,52229.38,POS,Real Estate,2024-05-01
TXN0000210,USR01156,480296.49,POS,Retail,2024-08-10
TXN0000211,USR02988,617689.02,Withdrawal,Food,2024-05-06
TXN0000212,USR02872,864193.11,Airtime,Finance,2024-02-28
TXN0000213,USR00423,782759.59,Deposit,Education,2024-12-27
TXN0000214,USR02422,992552.17,Deposit,Food,2024-04-06
TXN0000215,USR01122,401402.5,Airtime,Food,2024-03-08
TXN0000216,USR00209,199803.37,POS,Finance,2024-11-11
TXN0000217,USR00948,633382.68,Airtime,Entertainment,2024-12-24
TXN0000218,USR02638,509961.21,Transfer,Utilities,2024-02-01
TXN0000219,USR01438,280699.55,Deposit,Finance,2024-07-05
TXN0000220,USR00003,181915.09,Transfer,Entertainment,2024-01-25
TXN0000221,USR02485,280303.04,Transfer,Finance,2024-08-29
TXN0000222,USR01247,363708.16,Transfer,Retail,2024-09-08
TXN0000223,USR00534,551857.32,Bills,Entertainment,2024-12-15
TXN0000224,USR02413,742982.69,Withdrawal,Real Estate,2024-07-04
TXN0000225,USR02394,276091.48,POS,Retail,2024-11-28
TXN0000226,USR02466,629632.09,Transfer,Telecom,2024-03-07
TXN0000227,USR00791,817444.85,Deposit,Health,2024-12-01
TXN0000228,USR02536,941828.7,Bills,Utilities,2024-02-08
TXN0000229,USR00630,533650.31,Transfer,Food,2024-04-13
TXN0000230,USR02296,711660.1,Bills,Entertainment,2024-10-08
TXN0000231,USR00278,910866.1,POS,Finance,2024-03-01
TXN0000232,USR00684,790926.21,Withdrawal,Utilities,2024-09-14
TXN0000233,USR02320,289798.14,Transfer,Transport,2024-03-07
TXN0000234,USR02181,495126.4,Withdrawal,Retail,2024-07-22
TXN0000235,USR01599,384273.21,POS,Real Estate,2024-09-17
TXN0000236,USR02343,3799.82,Airtime,Real Estate,2024-04-04
TXN0000237,USR02899,455549.44,Deposit,Education,2024-09-19
TXN0000238,USR01100,296504.12,Withdrawal,Retail,2024-04-22
TXN0000239,USR01196,533658.54,Transfer,Food,2024-01-24
TXN0000240,USR01108,927261.58,Transfer,Transport,2024-05-22
TXN0000241,USR00006,534687.47,Deposit,Entertainment,2024-04-17
TXN0000242,USR02890,324696.64,Withdrawal,Utilities,2024-07-07
TXN0000243,USR01208,898355.19,Bills,Telecom,2024-07-28
TXN0000244,USR00899,823966.18,Deposit,Utilities,2024-01-06
TXN0000245,USR02390,537480.68,Transfer,Finance,2024-01-09
TXN0000246,USR02599,870050.91,Withdrawal,Education,2024-05-11
TXN0000247,USR01101,220794.69,Airtime,Real Estate,2024-08-14
TXN0000248,USR00950,155810.19,Deposit,Finance,2024-07-21
TXN0000249,USR00744,93872.23,POS,Food,2024-09-02
TXN0000250,USR02010,189021.96,Deposit,Food,2024-03-31
TXN0000251,USR00728,310297.88,POS,Real Estate,2024-01-11
TXN0000252,USR01005,72234.21,POS,Finance,2024-03-14
TXN0000253,USR00049,137463.7,Withdrawal,Retail,2024-09-26
TXN0000254,USR00056,110213.4,Deposit,Telecom,2024-01-11
TXN0000255,USR02570,267802.68,Withdrawal,Telecom,2024-02-12
TXN0000256,USR00436,957625.21,Withdrawal,Entertainment,2024-01-05
TXN0000257,USR01968,202480.98,Withdrawal,Health,2024-02-13
TXN0000258,USR00633,331889.64,Airtime,Telecom,2024-06-06
TXN0000259,USR00505,627559.73,Transfer,Telecom,2024-05-16
TXN0000260,USR01702,102745.47,Airtime,Telecom,2024-05-31
TXN0000261,USR01579,226829.58,Airtime,Entertainment,2024-01-13
TXN0000262,USR02804,921705.66,POS,Retail,2024-04-25
TXN0000263,USR01155,224677.33,Bills,Retail,2024-02-26
TXN0000264,USR00348,360621.05,Transfer,Real Estate,2024-03-01
TXN0000265,USR02457,530574.01,Airtime,Finance,2024-08-07
TXN0000266,USR02560,687222.6,Bills,Entertainment,2024-12-07
TXN0000267,USR02711,916250.19,Bills,Utilities,2024-05-18
TXN0000268,USR00009,798723.0,Airtime,Food,2024-12-30
TXN0000269,USR01960,446805.61,Transfer,Retail,2024-07-18
TXN0000270,USR01324,144838.74,Airtime,Food,2024-05-22
TXN0000271,USR01737,319451.6,POS,Finance,2024-06-29
TXN0000272,USR02679,333598.12,Airtime,Finance,2024-11-21
TXN0000273,USR02018,538838.95,Withdrawal,Education,2024-09-11
TXN0000274,USR02929,83800.91,POS,Education,2024-07-15
TXN0000275,USR00899,811329.02,Deposit,Retail,2024-12-21
TXN0000276,USR00071,203438.81,Bills,Education,2024-01-02
TXN0000277,USR00245,920919.0,Bills,Entertainment,2024-03-09
TXN0000278,USR00591,294838.05,Withdrawal,Finance,2024-03-12
TXN0000279,USR00565,56054.44,Transfer,Food,2024-04-24
TXN0000280,USR01740,696182.61,Bills,Telecom,2024-01-14
TXN0000281,USR01954,581690.17,Withdrawal,Food,2024-12-05
TXN0000282,USR01004,141449.1,Transfer,Telecom,2024-07-06
TXN0000283,USR00748,149887.13,POS,Food,2024-08-01
TXN0000284,USR01926,948775.06,POS,Entertainment,2024-12-23
TXN0000285,USR01175,695307.28,Transfer,Food,2024-11-26
TXN0000286,USR00711,32312.65,Withdrawal,Food,2024-11-24
TXN0000287,USR01861,679966.88,Withdrawal,Utilities,2024-08-04
TXN0000288,USR00932,306172.45,POS,Food,2024-09-13
TXN0000289,USR00513,521596.22,Deposit,Transport,2024-02-17
TXN0000290,USR00753,219062.41,Deposit,Education,2024-01-29
TXN0000291,USR01919,816594.71,POS,Entertainment,2024-02-09
TXN0000292,USR00676,827287.4,Transfer,Entertainment,2024-07-26
TXN0000293,USR00428,270065.31,Transfer,Entertainment,2024-04-09
TXN0000294,USR01156,28243.22,Airtime,Education,2024-06-20
TXN0000295,USR01267,597190.74,Airtime,Education,2024-04-18
TXN0000296,USR00349,240486.85,Withdrawal,Real Estate,2024-01-17
TXN0000297,USR01289,45871.43,Transfer,Utilities,2024-09-04
TXN0000298,USR01631,751728.34,Withdrawal,Transport,2024-07-01
TXN0000299,USR00531,725742.26,Deposit,Retail,2024-07-19
TXN0000300,USR00616,101182.58,Transfer,Real Estate,2024-09-14
TXN0000301,USR00154,586440.35,Bills,Food,2024-09-01
TXN0000302,USR02564,78937.03,Transfer,Transport,2024-08-25
TXN0000303,USR02944,654288.65,Airtime,Education,2024-12-14
TXN0000304,USR01399,651463.98,POS,Food,2024-11-07
TXN0000305,USR01765,623545.45,Transfer,Finance,2024-07-03
TXN0000306,USR00625,606955.06,Withdrawal,Health,2024-11-08
TXN0000307,USR01268,142793.85,Withdrawal,Retail,2024-01-08
TXN0000308,USR01211,313855.64,Airtime,Retail,2024-08-20
TXN0000309,USR00292,353497.45,Airtime,Health,2024-07-05
TXN0000310,USR01811,978487.09,Deposit,Food,2024-08-30
TXN0000311,USR01489,488360.86,Bills,Finance,2024-10-18
TXN0000312,USR00529,917155.77,POS,Entertainment,2024-11-13
TXN0000313,USR01531,952053.6,Transfer,Finance,2024-11-15
TXN0000314,USR02796,877432.26,Transfer,Real Estate,2024-05-14
TXN0000315,USR01003,741093.61,Deposit,Education,2024-01-30
TXN0000316,USR00649,290802.18,Withdrawal,Finance,2024-02-23
TXN0000317,USR01894,388344.97,Deposit,Retail,2024-04-24
TXN0000318,USR01905,642555.34,Transfer,Retail,2024-08-27
TXN0000319,USR01626,917475.94,POS,Transport,2024-02-25
TXN0000320,USR02476,317421.09,POS,Transport,2024-02-03
TXN0000321,USR01862,114503.45,Transfer,Education,2024-08-31
TXN0000322,USR00875,145684.55,Bills,Real Estate,2024-08-28
TXN0000323,USR00256,774249.91,Bills,Finance,2024-11-03
TXN0000324,USR00094,54266.65,Deposit,Finance,2024-04-19
TXN0000325,USR00581,176270.22,Transfer,Utilities,2024-11-21
TXN0000326,USR01850,873800.26,POS,Education,2024-06-01
TXN0000327,USR00221,184241.29,Transfer,Finance,2024-05-12
TXN0000328,USR01431,164700.21,POS,Health,2024-06-01
TXN0000329,USR02854,783899.84,POS,Entertainment,2024-12-18
TXN0000330,USR00041,389259.75,Withdrawal,Real Estate,2024-10-19
TXN0000331,USR00593,578573.08,Bills,Entertainment,2024-12-07
TXN0000332,USR02046,933831.7,Bills,Retail,2024-08-22
TXN0000333,USR02133,406504.95,Deposit,Telecom,2024-12-11
TXN0000334,USR02618,634365.56,Withdrawal,Retail,2024-03-05
TXN0000335,USR02237,420291.65,Airtime,Real Estate,2024-04-06
TXN0000336,USR00783,209920.92,Deposit,Real Estate,2024-06-27
TXN0000337,USR00067,813815.78,Bills,Utilities,2024-07-08
TXN0000338,USR02658,699376.58,POS,Finance,2024-03-04
TXN0000339,USR01745,828219.4,Withdrawal,Entertainment,2024-06-29
TXN0000340,USR01529,458931.34,Airtime,Education,2024-03-31
TXN0000341,USR01168,435988.55,Deposit,Finance,2024-10-04
TXN0000342,USR00407,620451.79,Transfer,Retail,2024-12-25
TXN0000343,USR01685,616336.5,Transfer,Health,2024-01-09
TXN0000344,USR00409,927242.54,Deposit,Health,2024-11-15
TXN0000345,USR01723,667775.93,Airtime,Transport,2024-01-17
TXN0000346,USR00802,381203.23,POS,Retail,2024-10-09
TXN0000347,USR02642,413051.74,Deposit,Finance,2024-08-25
TXN0000348,USR02079,782238.83,Bills,Utilities,2024-07-10
TXN0000349,USR01699,307534.9,Deposit,Transport,2024-05-15
TXN0000350,USR00108,32868.04,Airtime,Entertainment,2024-07-31
TXN0000351,USR02458,820069.56,Bills,Entertainment,2024-09-22
TXN0000352,USR00991,992829.57,Withdrawal,Finance,2024-10-19
TXN0000353,USR00212,393438.69,Withdrawal,Finance,2024-11-25
TXN0000354,USR02983,390533.22,Airtime,Finance,2024-11-21
TXN0000355,USR00947,158611.81,Transfer,Food,2024-09-21
TXN0000356,USR01606,577017.78,Deposit,Utilities,2024-11-19
TXN0000357,USR00835,948709.61,Transfer,Retail,2024-03-22
TXN0000358,USR02431,628967.72,Airtime,Telecom,2024-01-06
TXN0000359,USR00323,920609.35,Withdrawal,Finance,2024-10-05
TXN0000360,USR02599,983416.53,Deposit,Entertainment,2024-03-07
TXN0000361,USR01217,897928.76,Airtime,Education,2024-11-30
TXN0000362,USR02701,770436.74,Transfer,Utilities,2024-07-12
TXN0000363,USR02615,627511.89,Withdrawal,Retail,2024-03-14
TXN0000364,USR00581,122859.66,Bills,Utilities,2024-11-01
TXN0000365,USR01481,77565.87,Airtime,Finance,2024-02-17
TXN0000366,USR01993,413861.97,Deposit,Retail,2024-01-12
TXN0000367,USR01285,375378.94,Deposit,Health,2024-08-02
TXN0000368,USR00732,298894.93,Deposit,Real Estate,2024-04-02
TXN0000369,USR01405,117383.58,Bills,Health,2024-01-17
TXN0000370,USR00649,546572.93,Withdrawal,Utilities,2024-11-03
TXN0000371,USR02196,606188.95,Transfer,Education,2024-04-08
TXN0000372,USR01495,216463.05,Transfer,Transport,2024-03-19
TXN0000373,USR02981,219916.94,Deposit,Food,2024-03-11
TXN0000374,USR00377,199397.49,Bills,Education,2024-09-03
TXN0000375,USR02031,745244.67,POS,Education,2024-08-27
TXN0000376,USR00811,250242.88,Deposit,Utilities,2024-04-08
TXN0000377,USR02407,583730.94,Bills,Food,2024-02-22
TXN0000378,USR01828,433584.54,POS,Real Estate,2024-09-06
TXN0000379,USR02488,622985.76,POS,Finance,2024-06-12
TXN0000380,USR02592,374085.32,Transfer,Health,2024-06-29
TXN0000381,USR01037,958104.86,Withdrawal,Finance,2024-01-18
TXN0000382,USR02173,950387.06,Bills,Finance,2024-11-26
TXN0000383,USR01759,809077.85,Airtime,Entertainment,2024-04-02
TXN0000384,USR01524,657022.56,Airtime,Entertainment,2024-04-20
TXN0000385,USR02937,688354.07,Bills,Transport,2024-06-12
TXN0000386,USR02301,898763.33,Transfer,Finance,2024-06-13
TXN0000387,USR00422,527356.38,Withdrawal,Utilities,2024-04-18
TXN0000388,USR02648,75009.16,POS,Finance,2024-12-09
TXN0000389,USR00204,198310.58,POS,Health,2024-06-12
TXN0000390,USR00509,421352.58,POS,Food,2024-05-20
TXN0000391,USR02361,382980.56,Transfer,Utilities,2024-10-29
TXN0000392,USR01892,987956.19,Bills,Food,2024-10-21
TXN0000393,USR02186,37200.76,Withdrawal,Telecom,2024-07-25
TXN0000394,USR00390,69640.15,POS,Utilities,2024-01-09
TXN0000395,USR02280,400463.87,Bills,Health,2024-06-26
TXN0000396,USR01862,298583.83,POS,Retail,2024-07-20
TXN0000397,USR00918,102922.96,Transfer,Telecom,2024-11-12
TXN0000398,USR02967,861415.63,POS,Transport,2024-06-14
TXN0000399,USR01511,724162.37,Withdrawal,Telecom,2024-04-07
TXN0000400,USR00177,259835.49,Transfer,Telecom,2024-01-27
TXN0000401,USR02818,263874.12,Withdrawal,Finance,2024-02-08
TXN0000402,USR02390,924872.51,POS,Retail,2024-03-28
TXN0000403,USR01693,753083.47,Deposit,Health,2024-03-16
TXN0000404,USR02368,527682.88,POS,Health,2024-09-24
TXN0000405,USR01978,772688.67,Airtime,Retail,2024-06-13
TXN0000406,USR01446,711438.39,Withdrawal,Transport,2024-05-31
TXN0000407,USR00308,695025.38,POS,Telecom,2024-04-15
TXN0000408,USR01578,216292.02,Airtime,Health,2024-12-09
TXN0000409,USR02162,814031.8,Withdrawal,Entertainment,2024-04-16
TXN0000410,USR02685,708569.95,Airtime,Education,2024-06-08
TXN0000411,USR01490,218940.86,POS,Health,2024-03-07
TXN0000412,USR01640,203179.92,Airtime,Retail,2024-09-19
TXN0000413,USR02365,686328.06,Deposit,Retail,2024-03-25
TXN0000414,USR00986,745076.24,Transfer,Health,2024-02-24
TXN0000415,USR02175,476344.7,POS,Entertainment,2024-01-15
TXN0000416,USR01768,84249.87,Airtime,Food,2024-10-08
TXN0000417,USR00218,508024.73,POS,Utilities,2024-08-08
TXN0000418,USR02999,648691.38,POS,Transport,2024-01-26
TXN0000419,USR01131,176809.6,Withdrawal,Real Estate,2024-07-25
TXN0000420,USR00205,109362.61,Deposit,Transport,2024-08-09
TXN0000421,USR00147,115364.75,Withdrawal,Utilities,2024-04-22
