user_id,signup_date,city,device_type
USR00083,2023-04-06,Ibadan,iOS
USR00084,2024-02-21,Benin City,Web
USR00085,2023-08-07,Kaduna,Android
USR00086,2023-06-18,Kaduna,Android
USR00087,2024-02-04,Port Harcourt,Web
USR00088,2023-10-20,Kaduna,Web
USR00089,2023-06-08,Ibadan,USSD
USR00090,2023-08-11,Lagos,Android
USR00091,2023-11-18,Lagos,Android
USR00092,2024-08-21,Benin City,iOS
USR00093,2023-02-28,Owerri,Android
USR00094,2023-07-10,Abuja,Android
USR00095,2024-11-22,Ibadan,Web
USR00096,2023-05-03,Uyo,iOS
USR00097,2024-08-15,Uyo,Android
USR00098,2024-09-26,Abuja,Web
USR00099,2024-11-04,Uyo,USSD
USR00100,2023-09-25,Ibadan,USSD
USR00101,2023-09-02,Port Harcourt,Web
USR00102,2023-05-15,Port Harcourt,Web
USR00103,2023-11-20,Abuja,Android
USR00104,2024-04-14,Uyo,Android
USR00105,2023-03-17,Owerri,iOS
USR00106,2024-06-02,Port Harcourt,iOS
USR00107,2023-12-24,Abuja,iOS
USR00108,2024-01-14,Port Harcourt,iOS
USR00109,2024-03-24,Owerri,USSD
USR00110,2024-09-18,Owerri,Android
USR00111,2024-11-14,Owerri,USSD
USR00112,2024-11-10,Abuja,iOS
USR00113,2023-09-28,Abuja,Android
USR00114,2024-07-20,Kano,USSD
USR00115,2023-10-16,Uyo,iOS
USR00116,2023-12-18,Ibadan,USSD
USR00117,2024-06-01,Benin City,USSD
USR00118,2023-02-22,Abuja,Web
USR00119,2023-10-11,Lagos,Android
USR00120,2023-12-08,Kano,USSD
USR00121,2023-06-15,Benin City,Web
USR00122,2024-07-28,Lagos,Android
USR00123,2023-03-19,Kano,Android
USR00124,2024-01-14,Uyo,iOS
USR00125,2024-03-16,Kano,Android
USR00126,2023-11-12,Enugu,Android
USR00127,2024-01-02,Ibadan,iOS
USR00128,2024-11-13,Abuja,USSD
USR00129,2024-07-27,Kaduna,iOS
USR00130,2023-08-31,Kano,iOS
USR00131,2024-02-27,Lagos,iOS
USR00132,2023-12-07,Kaduna,iOS
USR00133,2023-10-01,Kano,Android
USR00134,2024-01-27,Lagos,Web
USR00135,2023-08-16,Ibadan,Web
USR00136,2023-12-25,Port Harcourt,iOS
USR00137,2023-08-17,Lagos,iOS
USR00138,2024-02-13,Enugu,USSD
USR00139,2023-03-13,Port Harcourt,USSD
USR00140,2024-10-18,Owerri,Web
USR00141,2024-11-26,Owerri,USSD
USR00142,2023-01-29,Abuja,USSD
USR00143,2023-07-02,Uyo,USSD
USR00144,2023-02-09,Abuja,Web
USR00145,2023-12-20,Enugu,Web
USR00146,2024-09-12,Owerri,Android
USR00147,2024-01-30,Uyo,iOS
USR00148,2023-09-18,Lagos,Web
USR00149,2023-01-02,Owerri,iOS
USR00150,2024-01-08,Kaduna,Android
USR00151,2024-11-11,Enugu,USSD
USR00152,2024-11-10,Abuja,USSD
USR00153,2024-06-03,Port Harcourt,Web
USR00154,2023-12-01,Kaduna,USSD
USR00155,2024-07-21,Kano,iOS
USR00156,2024-03-06,Kaduna,iOS
USR00157,2024-09-22,Uyo,USSD
USR00158,2024-02-20,Owerri,Android
USR00159,2023-11-08,Port Harcourt,iOS
USR00160,2024-03-16,Uyo,USSD
USR00161,2024-04-21,Benin City,Web
USR00162,2024-11-22,Ibadan,Web
USR00163,2023-06-23,Abuja,USSD
USR00164,2024-06-11,Uyo,USSD
USR00165,2023-04-06,Ibadan,USSD
USR00166,2023-08-19,Ibadan,iOS
USR00167,2023-01-26,Lagos,iOS
USR00168,2024-05-01,Uyo,Android
USR00169,2024-04-11,Kaduna,iOS
USR00170,2024-12-14,Kaduna,Web
USR00171,2024-02-14,Ibadan,iOS
USR00172,2024-11-02,Lagos,Android
USR00173,2024-03-11,Ibadan,iOS
USR00174,2024-12-13,Owerri,Web
USR00175,2023-02-21,Owerri,iOS
USR00176,2023-05-05,Benin City,iOS
USR00177,2024-04-20,Owerri,USSD
USR00178,2024-03-29,Uyo,Web
USR00179,2024-07-15,Benin City,iOS
USR00180,2024-05-01,Benin City,USSD
USR00181,2023-09-11,Port Harcourt,Web
USR00182,2024-10-03,Ibadan,USSD
USR00183,2024-03-26,Abuja,USSD
USR00184,2023-08-29,Port Harcourt,USSD
USR00185,2023-11-24,Owerri,Android
USR00186,2023-05-22,Kano,iOS
USR00187,2024-01-28,Kano,iOS
USR00188,2023-03-07,Kaduna,Web
USR00189,2023-12-05,Owerri,Web
USR00190,2024-03-01,Lagos,iOS
USR00191,2024-03-06,Kaduna,Android
USR00192,2024-08-12,Kaduna,Web
USR00193,2023-01-07,Enugu,USSD
USR00194,2024-02-04,Kaduna,iOS
USR00195,2024-05-14,Ibadan,USSD
USR00196,2024-03-22,Benin City,Android
USR00197,2024-02-03,Enugu,Web
USR00198,2023-06-19,Benin City,iOS
USR00199,2024-09-29,Owerri,Android
USR00200,2024-02-08,Uyo,Android
USR00201,2023-03-27,Kaduna,iOS
USR00202,2024-04-17,Kano,Android
USR00203,2023-09-24,Kaduna,USSD
USR00204,2023-08-05,Benin City,USSD
USR00205,2023-12-12,Kaduna,USSD
USR00206,2024-03-07,Port Harcourt,Android
USR00207,2024-04-26,Lagos,Android
USR00208,2023-12-25,Ibadan,Android
USR00209,2024-10-29,Lagos,Android
USR00210,2023-09-11,Ibadan,Android
USR00211,2024-09-28,Kano,iOS
USR00212,2023-05-10,Benin City,Android
USR00213,2024-07-31,Ibadan,Web
USR00214,2024-12-17,Port Harcourt,USSD
USR00215,2023-06-21,Uyo,Android
USR00216,2023-06-17,Port Harcourt,Android
USR00217,2024-08-15,Lagos,USSD
USR00218,2024-08-12,Kaduna,Web
USR00219,2023-07-23,Abuja,iOS
USR00220,2023-04-15,Port Harcourt,Android
USR00221,2024-08-02,Lagos,USSD
USR00222,2024-06-29,Kaduna,USSD
USR00223,2023-03-12,Owerri,USSD
USR00224,2023-01-13,Kaduna,Web
USR00225,2023-04-19,Kaduna,USSD
USR00226,2024-10-12,Benin City,iOS
USR00227,2024-03-21,Kano,USSD
USR00228,2024-09-22,Owerri,Web
USR00229,2024-04-21,Kaduna,USSD
USR00230,2023-11-27,Ibadan,Android
USR00231,2023-10-13,Benin City,iOS
USR00232,2024-04-20,Uyo,Web
USR00233,2023-12-11,Lagos,Web
USR00234,2023-11-29,Kano,Web
USR00235,2023-08-06,Enugu,USSD
USR00236,2023-12-15,Port Harcourt,USSD
USR00237,2024-07-23,Lagos,iOS
USR00238,2023-03-29,Ibadan,Web
USR00239,2024-05-15,Owerri,iOS
USR00240,2024-12-08,Benin City,Web
USR00241,2024-04-03,Lagos,Android
USR00242,2023-10-29,Ibadan,Web
USR00243,2024-12-09,Ibadan,USSD
USR00244,2024-11-10,Uyo,USSD
USR00245,2024-04-29,Owerri,USSD
USR00246,2024-03-11,Owerri,USSD
USR00247,2023-12-27,Benin City,USSD
USR00248,2023-11-10,Port Harcourt,iOS
USR00249,2023-05-04,Ibadan,USSD
USR00250,2023-05-03,Owerri,iOS
USR00251,2023-07-16,Ibadan,Web
USR00252,2023-10-11,Uyo,USSD
USR00253,2023-04-13,Ibadan,USSD
USR00254,2023-08-21,Enugu,iOS
USR00255,2023-11-06,Lagos,iOS
USR00256,2023-10-08,Lagos,Android
USR00257,2024-07-20,Port Harcourt,iOS
USR00258,2024-10-15,Benin City,Android
USR00259,2023-01-13,Uyo,USSD
USR00260,2024-04-25,Benin City,Web
USR00261,2023-12-15,Kano,Android
USR00262,2023-09-16,Benin City,Android
USR00263,2023-03-08,Kaduna,Web
USR00264,2023-03-17,Uyo,Android
USR00265,2023-06-05,Kano,USSD
USR00266,2023-03-29,Ibadan,Android
USR00267,2024-07-25,Kaduna,iOS
USR00268,2024-06-19,Kaduna,Web
USR00269,2024-03-29,Port Harcourt,Web
USR00270,2023-11-09,Uyo,Android
USR00271,2024-09-16,Abuja,iOS
USR00272,2024-10-02,Ibadan,USSD
USR00273,2024-11-07,Abuja,iOS
USR00274,2023-09-03,Kano,Android
USR00275,2023-06-10,Lagos,Web
USR00276,2024-04-06,Uyo,Web
USR00277,2023-10-26,Lagos,iOS
USR00278,2023-10-23,Port Harcourt,Web
USR00279,2023-03-14,Ibadan,USSD
USR00280,2024-10-02,Uyo,iOS
USR00281,2024-03-11,Abuja,iOS
USR00282,2024-10-25,Kano,USSD
USR00283,2023-05-26,Abuja,Android
USR00284,2023-06-19,Port Harcourt,USSD
USR00285,2024-03-25,Abuja,Web
USR00286,2024-12-06,Port Harcourt,Web
USR00287,2023-10-06,Owerri,Web
USR00288,2024-03-24,Abuja,Android
USR00289,2024-03-18,Enugu,USSD
USR00290,2023-01-27,Abuja,iOS
USR00291,2024-11-21,Uyo,Android
USR00292,2024-11-19,Port Harcourt,Android
USR00293,2023-06-29,Benin City,Web
USR00294,2023-10-12,Kano,Web
USR00295,2024-10-12,Benin City,Android
USR00296,2024-04-26,Enugu,Web
USR00297,2023-12-08,Enugu,Android
USR00298,2023-06-14,Enugu,Web
USR00299,2024-12-11,Benin City,USSD
USR00300,2024-11-09,Kaduna,Android
USR00301,2024-04-10,Abuja,USSD
USR00302,2023-09-16,Enugu,Android
USR00303,2024-02-18,Owerri,Android
USR00304,2024-11-04,Owerri,Web
USR00305,2024-02-28,Lagos,iOS
USR00306,2024-06-14,Enugu,Web
USR00307,2024-10-02,Benin City,Android
USR00308,2023-07-28,Port Harcourt,iOS
USR00309,2023-10-22,Benin City,Web
USR00310,2023-05-05,Lagos,iOS
USR00311,2024-12-27,Kano,USSD
USR00312,2024-07-18,Lagos,Web
USR00313,2023-04-06,Ibadan,Android
USR00314,2024-04-17,Abuja,iOS
USR00315,2024-05-25,Port Harcourt,USSD
USR00316,2024-03-01,Benin City,Web
USR00317,2023-09-07,Benin City,iOS
USR00318,2024-01-28,Ibadan,iOS
USR00319,2023-03-13,Port Harcourt,Web
USR00320,2023-12-15,Owerri,USSD
USR00321,2023-01-03,Port Harcourt,USSD
USR00322,2024-08-24,Uyo,Web
USR00323,2023-06-02,Benin City,Web
USR00324,2023-12-20,Enugu,Web
USR00325,2024-04-11,Enugu,iOS
USR00326,2024-12-15,Ibadan,Web
USR00327,2023-08-28,Kaduna,Android
USR00328,2023-11-22,Benin City,Web
USR00329,2024-01-31,Kano,Web
USR00330,2023-02-07,Kano,USSD
USR00331,2023-04-13,Benin City,Android
USR00332,2024-06-22,Benin City,Android
USR00333,2023-05-28,Kaduna,iOS
USR00334,2023-03-18,Benin City,USSD
USR00335,2023-12-13,Uyo,Web
USR00336,2024-10-27,Abuja,USSD
USR00337,2024-11-21,Owerri,Web
USR00338,2023-11-21,Benin City,Android
USR00339,2024-09-24,Abuja,iOS
USR00340,2024-10-08,Port Harcourt,iOS
USR00341,2023-04-03,Kaduna,Android
USR00342,2024-10-10,Abuja,Web
USR00343,2023-06-20,Port Harcourt,Android
USR00344,2023-02-17,Enugu,Android
USR00345,2023-10-28,Enugu,USSD
USR00346,2024-03-17,Kano,iOS
USR00347,2024-06-27,Kaduna,iOS
USR00348,2023-06-24,Kano,Android
USR00349,2024-09-16,Kaduna,iOS
USR00350,2024-05-24,Uyo,iOS
USR00351,2023-08-26,Benin City,USSD
USR00352,2024-04-15,Port Harcourt,Android
USR00353,2024-04-21,Port Harcourt,iOS
USR00354,2023-03-17,Benin City,USSD
USR00355,2024-08-24,Port Harcourt,Web
USR00356,2024-12-07,Port Harcourt,Web
USR00357,2023-11-06,Ibadan,Web
USR00358,2024-05-09,Abuja,iOS
USR00359,2024-01-26,Uyo,USSD
USR00360,2024-08-11,Port Harcourt,USSD
USR00361,2023-01-23,Kaduna,USSD
USR00362,2023-01-09,Uyo,Android
USR00363,2024-09-12,Benin City,USSD
USR00364,2023-08-24,Uyo,USSD
USR00365,2023-08-13,Ibadan,USSD
USR00366,2024-11-25,Kano,Android
USR00367,2024-10-04,Lagos,USSD
USR00368,2024-03-27,Lagos,USSD
USR00369,2023-05-15,Abuja,USSD
USR00370,2023-12-01,Kaduna,iOS
USR00371,2023-07-25,Kano,USSD
USR00372,2024-06-27,Owerri,USSD
USR00373,2023-06-18,Port Harcourt,Web
USR00374,2023-10-30,Enugu,Android
USR00375,2024-04-24,Abuja,iOS
USR00376,2023-08-20,Kaduna,USSD
USR00377,2023-04-03,Kaduna,Android
USR00378,2023-09-28,Owerri,Android
USR00379,2024-04-10,Enugu,USSD
USR00380,2024-08-21,Kaduna,USSD
USR00381,2023-04-21,Ibadan,Web
USR00382,2023-01-26,Uyo,USSD
USR00383,2024-09-16,Ibadan,Android
USR00384,2024-10-12,Benin City,USSD
USR00385,2024-10-26,Kaduna,Android
USR00386,2023-05-24,Lagos,Android
USR00387,2023-11-08,Benin City,Android
USR00388,2023-04-10,Ibadan,iOS
USR00389,2024-02-02,Benin City,USSD
USR00390,2024-11-17,Owerri,Web
USR00391,2024-08-24,Kano,Web
USR00392,2024-11-01,Abuja,Web
USR00393,2024-09-22,Kaduna,USSD
USR00394,2023-02-03,Enugu,iOS
USR00395,2024-03-30,Benin City,iOS
USR00396,2024-01-07,Abuja,USSD
USR00397,2024-07-11,Enugu,Android
USR00398,2024-02-12,Port Harcourt,iOS
USR00399,2023-05-06,Benin City,Android
USR00400,2024-11-09,Ibadan,Android
USR00401,2023-02-21,Enugu,iOS
USR00402,2023-05-09,Uyo,iOS
USR00403,2023-03-12,Owerri,iOS
USR00404,2024-08-23,Ibadan,iOS
USR00405,2023-12-03,Kano,Android
USR00406,2023-10-11,Kano,iOS
USR00407,2024-07-07,Port Harcourt,iOS
USR00408,2023-04-23,Lagos,iOS
USR00409,2023-01-16,Enugu,iOS
USR00410,2024-08-25,Enugu,Android
USR00411,2023-06-28,Port Harcourt,Android
USR00412,2023-05-10,Kaduna,Android
USR00413,2023-03-07,Benin City,Web
USR00414,2024-01-06,Owerri,Android
USR00415,2024-04-07,Owerri,iOS
USR00416,2024-09-21,Lagos,USSD
USR00417,2024-04-14,Lagos,Android
USR00418,2024-05-05,Kaduna,Web
USR00419,2024-12-03,Abuja,Web
USR00420,2024-12-30,Benin City,Android
USR00421,2023-03-24,Enugu,iOS
USR00422,2023-03-09,Kano,USSD
USR00423,2024-10-01,Uyo,USSD
USR00424,2024-01-26,Uyo,USSD
USR00425,2024-04-09,Owerri,Web
USR00426,2023-04-12,Abuja,iOS
USR00427,2024-03-16,Benin City,iOS
USR00428,2024-02-28,Enugu,Web
USR00429,2024-02-13,Kaduna,Android
USR00430,2023-11-17,Kaduna,USSD
USR00431,2024-11-12,Port Harcourt,USSD
USR00432,2023-06-06,Benin City,Android
USR00433,2023-04-04,Abuja,Android
USR00434,2024-03-18,Abuja,USSD
USR00435,2023-05-14,Owerri,Android
USR00436,2024-08-23,Owerri,USSD
USR00437,2024-11-17,Abuja,Web
USR00438,2023-12-29,Kaduna,Android
USR00439,2023-10-22,Uyo,USSD
USR00440,2023-12-27,Abuja,iOS
USR00441,2023-06-08,Benin City,iOS
USR00442,2023-04-21,Enugu,USSD
USR00443,2023-04-28,Port Harcourt,iOS
USR00444,2024-03-15,Owerri,Android
USR00445,2024-09-15,Port Harcourt,Android
USR00446,2023-07-04,Port Harcourt,USSD
USR00447,2023-12-14,Enugu,Android
USR00448,2023-07-05,Kano,Web
USR00449,2023-03-13,Kano,Android
USR00450,2023-04-04,Owerri,iOS
USR00451,2024-01-21,Kaduna,Web
USR00452,2023-12-16,Kano,USSD
USR00453,2023-11-16,Enugu,Android
USR00454,2023-02-23,Kano,iOS
USR00455,2024-09-24,Lagos,Android
USR00456,2023-10-06,Benin City,Web
USR00457,2024-05-12,Uyo,Web
USR00458,2024-02-29,Port Harcourt,iOS
USR00459,2024-06-08,Abuja,USSD
USR00460,2024-03-16,Abuja,USSD
USR00461,2024-11-25,Uyo,Web
USR00462,2024-06-23,Port Harcourt,Android
USR00463,2023-08-14,Kaduna,Android
USR00464,2023-01-08,Ibadan,USSD
USR00465,2023-08-05,Kano,USSD
USR00466,2023-10-24,Enugu,Android
USR00467,2023-01-08,Benin City,Web
USR00468,2023-06-29,Kano,Web
USR00469,2024-06-29,Ibadan,USSD
USR00470,2023-03-15,Kaduna,Android
USR00471,2024-03-22,Lagos,Web
USR00472,2023-03-21,Enugu,Web
USR00473,2024-08-10,Kaduna,Web
USR00474,2023-10-24,Abuja,Web
USR00475,2023-01-22,Enugu,iOS
USR00476,2024-09-24,Benin City,USSD
USR00477,2023-04-01,Kaduna,Android
USR00478,2023-09-07,Kaduna,Web
USR00479,2024-06-20,Abuja,Web
USR00480,2023-11-14,Enugu,iOS
USR00481,2023-12-08,Kano,Android
USR00482,2024-06-06,Abuja,iOS
USR00483,2023-12-24,Enugu,iOS
USR00484,2023-08-30,Abuja,iOS
USR00485,2023-09-20,Ibadan,iOS
USR00486,2024-09-08,Kano,Android
USR00487,2023-07-01,Benin City,Web
USR00488,2024-07-31,Uyo,Web
USR00489,2024-11-28,Uyo,USSD
USR00490,2024-10-04,Enugu,iOS
USR00491,2024-03-26,Abuja,Web
USR00492,2024-03-28,Port Harcourt,USSD
USR00493,2024-08-28,Lagos,USSD
USR00494,2024-06-03,Abuja,USSD
USR00495,2024-04-17,Benin City,Android
USR00496,2023-02-28,Enugu,USSD
USR00497,2023-03-20,Abuja,Web
USR00498,2024-04-18,Uyo,Android
USR00499,2024-04-05,Uyo,iOS
USR00500,2023-11-26,Uyo,Web
USR00501,2024-05-28,Kano,Android
USR00502,2024-04-06,Abuja,USSD
USR00503,2023-03-28,Owerri,iOS
USR00504,2023-02-10,Ibadan,Web
USR00505,2024-03-25,Owerri,iOS
USR00506,2024-01-08,Enugu,USSD
USR00507,2024-02-01,Kaduna,USSD
USR00508,2024-11-26,Uyo,Android
USR00509,2024-10-08,Enugu,Android
USR00510,2023-12-04,Abuja,Web
USR00511,2023-10-18,Port Harcourt,iOS
USR00512,2023-12-08,Abuja,iOS
USR00513,2023-12-25,Port Harcourt,Web
USR00514,2023-05-13,Uyo,Android
USR00515,2023-11-14,Owerri,Web
USR00516,2024-10-20,Enugu,iOS
USR00517,2024-11-17,Owerri,Android
USR00518,2024-10-23,Kaduna,USSD
USR00519,2023-01-19,Enugu,USSD
USR00520,2023-07-04,Ibadan,USSD
USR00521,2024-05-12,Ibadan,iOS
USR00522,2023-05-21,Kano,Android
USR00523,2023-10-30,Abuja,Android
USR00524,2024-11-08,Enugu,iOS
USR00525,2024-09-03,Kaduna,iOS
USR00526,2023-06-16,Kano,iOS
USR00527,2024-03-24,Lagos,Web
USR00528,2024-01-09,Ibadan,Web
USR00529,2024-09-17,Port Harcourt,Web
USR00530,2023-08-28,Owerri,iOS
USR00531,2023-11-13,Benin City,iOS
USR00532,2024-01-12,Uyo,Web
USR00533,2024-04-17,Port Harcourt,Web
USR00534,2024-05-29,Owerri,Web
USR00535,2023-06-15,Ibadan,iOS
USR00536,2023-09-14,Lagos,Web
USR00537,2024-01-16,Owerri,Android
USR00538,2024-12-29,Owerri,Android
USR00539,2023-10-19,Abuja,iOS
USR00540,2023-10-07,Benin City,iOS
USR00541,2024-03-23,Abuja,iOS
USR00542,2024-04-06,Enugu,Android
USR00543,2024-02-29,Lagos,Web
USR00544,2024-05-29,Enugu,iOS
USR00545,2024-01-31,Abuja,USSD
USR00546,2023-08-18,Lagos,USSD
USR00547,2023-04-12,Enugu,iOS
USR00548,2023-05-21,Lagos,USSD
USR00549,2024-04-28,Kano,Web
USR00550,2024-04-04,Uyo,Android
USR00551,2023-03-23,Lagos,USSD
USR00552,2023-08-09,Kano,Web
USR00553,2023-04-24,Port Harcourt,iOS
USR00554,2023-11-05,Abuja,Android
USR00555,2023-09-02,Kaduna,Web
USR00556,2023-03-06,Abuja,Web
USR00557,2024-09-03,Owerri,Android
USR00558,2024-10-09,Owerri,iOS
USR00559,2023-05-28,Port Harcourt,Web
USR00560,2023-01-02,Uyo,USSD
USR00561,2023-09-04,Uyo,Web
USR00562,2023-07-11,Abuja,USSD
USR00563,2023-03-11,Owerri,Android
USR00564,2024-02-04,Benin City,Android
USR00565,2024-10-12,Kaduna,USSD
USR00566,2023-09-17,Lagos,USSD
USR00567,2023-03-11,Enugu,iOS
USR00568,2024-11-03,Abuja,USSD
USR00569,2023-05-17,Lagos,USSD
USR00570,2024-07-13,Enugu,iOS
USR00571,2024-12-02,Benin City,Web
USR00572,2024-10-08,Kano,iOS
USR00573,2023-03-06,Benin City,Android
USR00574,2023-10-28,Ibadan,Android
USR00575,2023-07-24,Lagos,USSD
USR00576,2023-11-14,Owerri,Web
USR00577,2024-07-10,Benin City,USSD
USR00578,2023-02-07,Ibadan,USSD
USR00579,2024-01-01,Lagos,USSD
USR00580,2023-10-07,Abuja,USSD
USR00581,2024-03-23,Kaduna,Web
USR00582,2024-01-31,Enugu,iOS
USR00583,2024-05-23,Benin City,USSD
USR00584,2024-06-15,Port Harcourt,Android
USR00585,2024-03-10,Abuja,Web
USR00586,2024-09-08,Kano,USSD
USR00587,2023-11-25,Abuja,Android
USR00588,2023-12-02,Port Harcourt,USSD
USR00589,2024-04-01,Uyo,Web
USR00590,2023-06-20,Benin City,USSD
USR00591,2024-04-02,Lagos,USSD
USR00592,2024-09-21,Kaduna,USSD
USR00593,2024-10-16,Lagos,Android
USR00594,2024-11-18,Kaduna,USSD
USR00595,2024-06-09,Kano,Android
USR00596,2023-05-27,Uyo,Web
USR00597,2023-02-05,Kano,Android
USR00598,2023-08-30,Enugu,USSD
USR00599,2024-01-28,Uyo,Android
USR00600,2024-09-11,Kano,Web
USR00601,2024-01-15,Enugu,Web
USR00602,2023-03-20,Uyo,iOS
USR00603,2024-06-26,Enugu,Web
USR00604,2023-11-18,Port Harcourt,iOS
USR00605,2023-04-27,Lagos,iOS
USR00606,2024-05-26,Owerri,Web
USR00607,2024-07-29,Abuja,USSD
USR00608,2023-09-24,Benin City,iOS
USR00609,2024-09-18,Port Harcourt,Web
USR00610,2023-07-24,Abuja,iOS
USR00611,2023-03-17,Benin City,iOS
USR00612,2024-03-31,Abuja,USSD
USR00613,2024-11-14,Enugu,Android
USR00614,2024-07-17,Owerri,USSD
USR00615,2023-11-04,Kano,iOS
USR00616,2024-01-06,Owerri,iOS
USR00617,2023-05-05,Ibadan,iOS
USR00618,2023-08-31,Benin City,Android
USR00619,2024-01-05,Owerri,USSD
USR00620,2024-04-23,Owerri,iOS
USR00621,2024-09-18,Abuja,Android
USR00622,2023-11-13,Kaduna,Web
USR00623,2024-06-22,Kaduna,Web
USR00624,2024-08-11,Abuja,iOS
USR00625,2023-11-21,Abuja,Web
USR00626,2024-04-22,Owerri,USSD
USR00627,2023-05-12,Owerri,iOS
USR00628,2023-05-13,Kaduna,Android
USR00629,2023-05-08,Owerri,iOS
USR00630,2023-11-08,Kano,iOS
USR00631,2023-11-27,Ibadan,USSD
USR00632,2024-06-15,Port Harcourt,Android
USR00633,2023-09-14,Ibadan,USSD
USR00634,2023-05-09,Port Harcourt,Android
USR00635,2024-05-29,Kano,iOS
USR00636,2023-06-25,Uyo,USSD
USR00637,2024-07-31,Lagos,Android
USR00638,2023-03-25,Lagos,USSD
USR00639,2024-10-28,Ibadan,Web
USR00640,2024-09-24,Lagos,Web
USR00641,2024-10-04,Owerri,USSD
USR00642,2024-10-19,Port Harcourt,Web
USR00643,2023-09-08,Kaduna,USSD
USR00644,2024-04-09,Abuja,Android
USR00645,2023-06-11,Benin City,Web
USR00646,2024-05-10,Benin City,iOS
USR00647,2023-12-15,Uyo,iOS
USR00648,2023-11-17,Enugu,USSD
USR00649,2024-02-13,Kano,USSD
USR00650,2024-06-11,Owerri,Android
USR00651,2023-11-23,Ibadan,Web
USR00652,2023-05-06,Port Harcourt,Web
USR00653,2023-09-11,Kano,Android
USR00654,2023-02-21,Port Harcourt,Web
USR00655,2024-09-22,Kaduna,iOS
USR00656,2023-06-13,Enugu,USSD
USR00657,2023-07-14,Kano,Web
USR00658,2024-06-11,Benin City,Web
USR00659,2023-11-12,Benin City,Android
USR00660,2023-04-03,Kaduna,Web
USR00661,2023-09-04,Ibadan,USSD
USR00662,2023-02-19,Lagos,USSD
USR00663,2024-05-21,Uyo,Web
USR00664,2023-10-20,Owerri,Android
USR00665,2023-04-21,Kaduna,iOS
USR00666,2023-09-28,Enugu,Web
USR00667,2024-01-10,Lagos,Web
